nohup: ignoring input
/home/aizoo/miniconda3/envs/minimind/lib/python3.11/site-packages/torch/cuda/__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
所加载Model可训练参数：25.830 百万
Epoch:[1/2](100/75162) loss:3.638861 lr:0.000000500000 epoch_Time:163.0min:
Epoch:[1/2](200/75162) loss:3.005378 lr:0.000000499998 epoch_Time:167.0min:
Epoch:[1/2](300/75162) loss:2.549107 lr:0.000000499996 epoch_Time:170.0min:
Epoch:[1/2](400/75162) loss:2.461359 lr:0.000000499992 epoch_Time:172.0min:
Epoch:[1/2](500/75162) loss:1.974440 lr:0.000000499988 epoch_Time:171.0min:
Epoch:[1/2](600/75162) loss:2.074292 lr:0.000000499982 epoch_Time:171.0min:
Epoch:[1/2](700/75162) loss:1.866584 lr:0.000000499976 epoch_Time:171.0min:
Epoch:[1/2](800/75162) loss:1.930429 lr:0.000000499969 epoch_Time:172.0min:
Epoch:[1/2](900/75162) loss:1.999131 lr:0.000000499960 epoch_Time:171.0min:
Epoch:[1/2](1000/75162) loss:2.074062 lr:0.000000499951 epoch_Time:171.0min:
Epoch:[1/2](1100/75162) loss:2.073149 lr:0.000000499941 epoch_Time:171.0min:
Epoch:[1/2](1200/75162) loss:1.851435 lr:0.000000499929 epoch_Time:171.0min:
Epoch:[1/2](1300/75162) loss:1.892010 lr:0.000000499917 epoch_Time:170.0min:
Epoch:[1/2](1400/75162) loss:2.196837 lr:0.000000499904 epoch_Time:170.0min:
Epoch:[1/2](1500/75162) loss:1.954059 lr:0.000000499889 epoch_Time:170.0min:
Epoch:[1/2](1600/75162) loss:1.864942 lr:0.000000499874 epoch_Time:170.0min:
Epoch:[1/2](1700/75162) loss:2.011192 lr:0.000000499858 epoch_Time:170.0min:
Epoch:[1/2](1800/75162) loss:1.932258 lr:0.000000499841 epoch_Time:169.0min:
Epoch:[1/2](1900/75162) loss:1.836723 lr:0.000000499823 epoch_Time:169.0min:
Epoch:[1/2](2000/75162) loss:1.957674 lr:0.000000499803 epoch_Time:170.0min:
Epoch:[1/2](2100/75162) loss:1.902176 lr:0.000000499783 epoch_Time:170.0min:
Epoch:[1/2](2200/75162) loss:2.058229 lr:0.000000499762 epoch_Time:169.0min:
Epoch:[1/2](2300/75162) loss:1.833109 lr:0.000000499740 epoch_Time:169.0min:
Epoch:[1/2](2400/75162) loss:1.737736 lr:0.000000499717 epoch_Time:169.0min:
Epoch:[1/2](2500/75162) loss:1.935485 lr:0.000000499693 epoch_Time:169.0min:
Epoch:[1/2](2600/75162) loss:1.999837 lr:0.000000499668 epoch_Time:168.0min:
Epoch:[1/2](2700/75162) loss:1.887972 lr:0.000000499642 epoch_Time:168.0min:
Epoch:[1/2](2800/75162) loss:1.827154 lr:0.000000499615 epoch_Time:168.0min:
Epoch:[1/2](2900/75162) loss:1.976321 lr:0.000000499587 epoch_Time:168.0min:
Epoch:[1/2](3000/75162) loss:1.971550 lr:0.000000499558 epoch_Time:168.0min:
Epoch:[1/2](3100/75162) loss:1.922389 lr:0.000000499528 epoch_Time:167.0min:
Epoch:[1/2](3200/75162) loss:1.819857 lr:0.000000499497 epoch_Time:167.0min:
Epoch:[1/2](3300/75162) loss:1.910327 lr:0.000000499465 epoch_Time:167.0min:
Epoch:[1/2](3400/75162) loss:2.013904 lr:0.000000499432 epoch_Time:167.0min:
Epoch:[1/2](3500/75162) loss:1.825455 lr:0.000000499398 epoch_Time:166.0min:
Epoch:[1/2](3600/75162) loss:2.023513 lr:0.000000499364 epoch_Time:166.0min:
Epoch:[1/2](3700/75162) loss:2.079991 lr:0.000000499328 epoch_Time:166.0min:
Epoch:[1/2](3800/75162) loss:1.832930 lr:0.000000499291 epoch_Time:166.0min:
Epoch:[1/2](3900/75162) loss:1.940938 lr:0.000000499253 epoch_Time:165.0min:
Epoch:[1/2](4000/75162) loss:1.821476 lr:0.000000499214 epoch_Time:165.0min:
Epoch:[1/2](4100/75162) loss:1.853164 lr:0.000000499175 epoch_Time:165.0min:
Epoch:[1/2](4200/75162) loss:1.860911 lr:0.000000499134 epoch_Time:165.0min:
Epoch:[1/2](4300/75162) loss:1.705683 lr:0.000000499092 epoch_Time:164.0min:
Epoch:[1/2](4400/75162) loss:1.835379 lr:0.000000499049 epoch_Time:164.0min:
Epoch:[1/2](4500/75162) loss:1.725403 lr:0.000000499006 epoch_Time:164.0min:
Epoch:[1/2](4600/75162) loss:1.843664 lr:0.000000498961 epoch_Time:164.0min:
Epoch:[1/2](4700/75162) loss:1.911134 lr:0.000000498915 epoch_Time:164.0min:
Epoch:[1/2](4800/75162) loss:2.177863 lr:0.000000498869 epoch_Time:163.0min:
Epoch:[1/2](4900/75162) loss:2.052269 lr:0.000000498821 epoch_Time:163.0min:
Epoch:[1/2](5000/75162) loss:1.866981 lr:0.000000498773 epoch_Time:163.0min:
Epoch:[1/2](5100/75162) loss:1.778050 lr:0.000000498723 epoch_Time:163.0min:
Epoch:[1/2](5200/75162) loss:1.860417 lr:0.000000498673 epoch_Time:162.0min:
Epoch:[1/2](5300/75162) loss:1.853137 lr:0.000000498621 epoch_Time:162.0min:
Epoch:[1/2](5400/75162) loss:1.807759 lr:0.000000498569 epoch_Time:162.0min:
Epoch:[1/2](5500/75162) loss:2.023072 lr:0.000000498515 epoch_Time:162.0min:
Epoch:[1/2](5600/75162) loss:1.704751 lr:0.000000498461 epoch_Time:161.0min:
Epoch:[1/2](5700/75162) loss:2.055295 lr:0.000000498405 epoch_Time:161.0min:
Epoch:[1/2](5800/75162) loss:1.714307 lr:0.000000498349 epoch_Time:161.0min:
Epoch:[1/2](5900/75162) loss:1.881459 lr:0.000000498292 epoch_Time:161.0min:
Epoch:[1/2](6000/75162) loss:2.024981 lr:0.000000498233 epoch_Time:161.0min:
Epoch:[1/2](6100/75162) loss:2.035137 lr:0.000000498174 epoch_Time:160.0min:
Epoch:[1/2](6200/75162) loss:2.001973 lr:0.000000498114 epoch_Time:160.0min:
Epoch:[1/2](6300/75162) loss:2.036334 lr:0.000000498053 epoch_Time:160.0min:
Epoch:[1/2](6400/75162) loss:1.608157 lr:0.000000497990 epoch_Time:160.0min:
Epoch:[1/2](6500/75162) loss:1.938209 lr:0.000000497927 epoch_Time:159.0min:
Epoch:[1/2](6600/75162) loss:1.796742 lr:0.000000497863 epoch_Time:159.0min:
Epoch:[1/2](6700/75162) loss:1.982667 lr:0.000000497798 epoch_Time:159.0min:
Epoch:[1/2](6800/75162) loss:1.803039 lr:0.000000497732 epoch_Time:159.0min:
Epoch:[1/2](6900/75162) loss:2.007885 lr:0.000000497665 epoch_Time:158.0min:
Epoch:[1/2](7000/75162) loss:1.943591 lr:0.000000497597 epoch_Time:158.0min:
Epoch:[1/2](7100/75162) loss:1.835366 lr:0.000000497528 epoch_Time:158.0min:
Epoch:[1/2](7200/75162) loss:1.994001 lr:0.000000497458 epoch_Time:158.0min:
Epoch:[1/2](7300/75162) loss:1.816065 lr:0.000000497387 epoch_Time:158.0min:
Epoch:[1/2](7400/75162) loss:1.707132 lr:0.000000497315 epoch_Time:157.0min:
Epoch:[1/2](7500/75162) loss:2.055068 lr:0.000000497242 epoch_Time:157.0min:
Epoch:[1/2](7600/75162) loss:2.059579 lr:0.000000497168 epoch_Time:157.0min:
Epoch:[1/2](7700/75162) loss:1.910935 lr:0.000000497093 epoch_Time:157.0min:
Epoch:[1/2](7800/75162) loss:1.995661 lr:0.000000497017 epoch_Time:156.0min:
Epoch:[1/2](7900/75162) loss:1.831945 lr:0.000000496940 epoch_Time:156.0min:
Epoch:[1/2](8000/75162) loss:1.805407 lr:0.000000496863 epoch_Time:156.0min:
